epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
1,train,250000,5008,-0.6535543130990404,-1.0,3.0,0.7750009,250000,250000,0.202786,0.015192686787696844,62492,622.849975,618.266769,404.35619789877467
2,train,250000,5076,-0.6869582348305748,-1.0,3.0,0.5500008999999999,500000,250000,0.615433,0.018874194439401901,62492,748.4119979999999,743.927614,336.05420110134537
2,test,125000,2603,-0.7583557433730325,-1.0,3.0,0.05,500000,250000,0.615433,0,62492,1035.971423,287.540879,434.72079669061594
3,train,250000,5080,-0.7005905511811059,-1.0,3.0,0.32500090000000004,750000,500000,0.642741,0.012962455578807507,124992,1913.285009,877.311273,284.9615725842839
3,test,125000,2612,-0.7607197549770286,-1.0,3.0,0.05,750000,500000,0.642741,0,124992,2197.5640900000003,284.2612280000001,439.7363681268554
4,train,250000,5116,-0.7081704456606727,-1.0,3.0,0.10000090000000006,1000000,750000,0.706292,0.0099483030957238684,187492,3204.342736,1006.775752,248.31746245712122
4,test,125000,2587,-0.7464244298415172,-1.0,3.0,0.05,1000000,750000,0.706292,0,187492,3486.365004,282.00448099999994,443.2553679882839
5,train,250000,5125,-0.7166829268292674,-1.0,3.0,0.1,1250000,1000000,0.734644,0.0082591931957160074,249992,4559.98907,1073.621235,232.85679516202936
5,test,125000,2609,-0.7497125335377549,-1.0,3.0,0.05,1250000,1000000,0.734644,0,249992,4841.330542,281.3239279999998,444.3276506504633
6,train,250000,5106,-0.7160203681942839,-1.0,3.0,0.1,1500000,1000000,0.79844,0.0069004149220122605,312492,5912.521599,1071.1882990000004,233.38567106584864
6,test,125000,2574,-0.7288267288267278,-1.0,3.0,0.05,1500000,1000000,0.79844,0,312492,6194.570329,282.03120600000057,443.2133655450871
7,train,250000,5115,-0.712609970674488,-1.0,3.0,0.1,1750000,1000000,0.817041,0.0059824267548963016,374992,7265.480117,1070.9070500000007,233.44696442142185
7,test,125000,2571,-0.7141190198366404,-1.0,3.0,0.05,1750000,1000000,0.817041,0,374992,7547.519346,282.0207700000001,443.22976637500835
8,train,250000,5120,-0.7111328124999977,-1.0,3.0,0.1,2000000,1000000,0.760812,0.0052055440716728988,437492,8616.36076,1068.8388429999995,233.8986851360155
8,test,125000,2518,-0.6703733121525011,-1.0,3.0,0.05,2000000,1000000,0.760812,0,437492,8896.244704,279.8670110000003,446.6407082183755
9,train,250000,5142,-0.7220925709840545,-1.0,3.0,0.1,2250000,1000000,0.721596,0.0045631297657654675,499992,9952.880368,1056.633084000001,236.600579506367
9,test,125000,2560,-0.726953124999999,-1.0,3.0,0.05,2250000,1000000,0.721596,0,499992,10234.415103,281.5171879999998,444.0226221640154
10,train,250000,5128,-0.7203588143525755,-1.0,3.0,0.1,2500000,1000000,0.81316,0.0041221851676689824,562492,11290.893684,1056.4759780000004,236.63576380910376
10,test,125000,2540,-0.7070866141732277,-1.0,3.0,0.05,2500000,1000000,0.81316,0,562492,11571.22989,280.318663,445.9210766141532
11,train,250000,5137,-0.7266887288300565,-1.0,3.0,0.1,2750000,1000000,0.686722,0.0038172277570329913,624992,12628.851615,1057.6192030000002,236.37997427699878
11,test,125000,2570,-0.7315175097276259,-1.0,3.0,0.05,2750000,1000000,0.686722,0,624992,12907.181574,278.3126339999999,449.13519808087494
